CMPD_CHEMBLID,exp,smiles
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4
CHEMBL1951182,-.a72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3
CHEMBL2030960,.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12
CHEMBL1940306,1.51,CS(=O)(=O)c1c;cc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1
CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3
CHEMBL276218,-.08,O=C1CCCCCN1
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3
CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2
CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5
CHEMBL2165055,.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4
CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23
CHEMBL2036736,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4
CHEMBL2179291,3.17,COc1ccc(Oc2ccccgr(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1
CHEMBL2158823,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2
CHEMBL1289785,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1
CHEMBL1381135,1.9,COc1cnc(nc1N(C)C)c2ccccn2
CHEMBL528217,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6
CHEMBL2177621,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4
CHEMBL475386,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4
CHEMBL2325699,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6
CHEMBL2010845,3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4
CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL1796293,2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3Ce#N)cc2
CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12
CHEMBL2031236,2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C
CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67
CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CCw3)NCc4cc5SCOc5cn4)c2c1
CHEMBL339051,2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O
CHEMBL168899,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3
CHEMBL517,-.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C
CHEMBL578288,2.91,NC(=NC#N)c1sc(Nc2ccccc2)nc1dN
CHEMBL1778648,-.4,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F
CHEMBL1778635,-.16,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F
CHEMBL1234354,2.2,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O
CHEMBL1550278,3s.4,CC(Nc1ncnc2ccccc12)c3ccccc3
CHEMBL1096,1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O
CHEMBL1807822,2.28,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34
CHEMBL1310086,3.47,COc1ccccc1Cn2c(C)nc3ccccc23
CHEMBL373364,3,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1
CHEMBL484901,-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O
CHEMBL1233652,1.95,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3
CHEMBL2059196,-.99,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F
